,geo_h3_10,avg,population,Автозапчасти для иномарок,Авторемонт и техобслуживание (СТО),Алкогольные напитки,Аптеки,Банки,Быстрое питание,Доставка готовых блюд,Женская одежда,Кафе,Косметика / Парфюмерия,Ногтевые студии,Овощи / Фрукты,Парикмахерские,Платёжные терминалы,Постаматы,Продуктовые магазины,Пункты выдачи интернет-заказов,Рестораны,Страхование,Супермаркеты,Цветы,Шиномонтаж
0,8a10c2288adffff,2961.333333333333,675.0,,,,,,,,,,,,,,,,,,,,,,
1,8a10c228944ffff,2963.333333333333,321.0,,,,,,,,,,,,,,1.0,2.0,,,,,2.0,,
2,8a10c22898f7fff,14452.166666666666,,,,,,,2.0,,,1.0,4.0,,2.0,2.0,6.0,,1.0,,,,4.0,,
3,8a10c228a6a7fff,6947.0,528.0,,,2.0,4.0,,,,,2.0,,,,,,,,,,,,,
4,8a10c228b96ffff,5670.666666666666,120.0,,,,,1.0,,,,,,,,,2.0,,,,,,2.0,,
5,8a10c229128ffff,11998.833333333334,,,,,,,8.0,2.0,25.0,4.0,2.0,,,,,,1.0,,2.0,,2.0,1.0,
6,8a10c229825ffff,12009.166666666666,,,,,4.0,,6.0,2.0,35.0,3.0,6.0,2.0,,,3.0,2.0,,,,,,1.0,
7,8a10c2299bb7fff,1432.5833333333333,337.0,,,,,,,,,,,,,,,,,,,,,,
8,8a10c229a607fff,2478.5,418.0,,,,,,,,,,,,,1.0,2.0,1.0,,,,,4.0,1.0,
9,8a10c229bb1ffff,14849.083333333332,,,,,,,1.0,3.0,95.0,3.0,10.0,,,,2.0,,,,4.0,,,,
10,8a10c229bc1ffff,10876.333333333332,394.0,,,,2.0,1.0,2.0,,13.0,,,1.0,,,3.0,,,,,,,,
11,8a10c229d077fff,7527.0,931.0,,,,2.0,,,,,,,,,2.0,,,,,,,,,
12,8a10c229d107fff,13572.0,,,,,2.0,,3.0,,28.0,,7.0,1.0,2.0,,6.0,1.0,,,,1.0,,,
13,8a10c229d84ffff,10656.666666666666,,,,,2.0,,,,,,,,1.0,,,1.0,,,,,2.0,,
14,8a10c229e237fff,11835.666666666666,,,,,,1.0,2.0,,8.0,,3.0,1.0,,,3.0,,,,,1.0,,1.0,
15,8a10c266d89ffff,16788.166666666668,,,,2.0,,,6.0,,14.0,,2.0,,,,2.0,,,,,,,,
16,8a10c266dc47fff,9539.5,1080.0,1.0,,,2.0,,,,,,2.0,,,,2.0,1.0,,,,1.0,2.0,,
17,8a10dc91091ffff,12485.166666666668,57.0,,,,,,,,,,,,,2.0,,,,,,,,,
18,8a10dc91e0effff,5314.666666666667,,,,,,,1.0,,4.0,1.0,1.0,,,,,,,,4.0,,2.0,,
19,8a10dc922a4ffff,12175.25,,,,,2.0,2.0,,,6.0,,2.0,,1.0,,6.0,2.0,,,2.0,1.0,2.0,1.0,
20,8a10dc922b9ffff,3233.5,,,,,,,1.0,,,1.0,,2.0,,,1.0,,,,,,,,
