,geo_h3_10,avg,lat_h3,lon_h3,walk_15min
0,8a10c2288adffff,2961.333333333333,56.89503858949136,60.598777195669726,"POLYGON ((60.603777 56.904214, 60.602777 56.903679, 60.600601 56.904214, 60.588777 56.903014, 60.587826 56.90199, 60.586996 56.90182, 60.585497 56.901758, 60.584777 56.902293, 60.583164 56.902039, 60.585254 56.899562, 60.583777 56.899493, 60.582907 56.899039, 60.583743 56.895039, 60.583363 56.894039, 60.585326 56.891039, 60.586045 56.888039, 60.588777 56.886208, 60.592777 56.885428, 60.595777 56.886272, 60.596788 56.886028, 60.598777 56.886394, 60.599559 56.887257, 60.600777 56.887479, 60.605874 56.887039, 60.606777 56.889239, 60.607777 56.887758, 60.609783 56.888039, 60.610777 56.889406, 60.612093 56.888723, 60.613777 56.889133, 60.614283 56.890039, 60.613657 56.892158, 60.614989 56.893039, 60.614082 56.894344, 60.614612 56.896039, 60.613952 56.896213, 60.6137 56.897039, 60.613777 56.899094, 60.611777 56.901115, 60.606777 56.901116, 60.604775 56.904036, 60.603777 56.904214))"
1,8a10c228944ffff,2963.333333333333,56.89620627985079,60.625910704724106,"POLYGON ((60.624911 56.905507, 60.618911 56.905774, 60.617185 56.904932, 60.613911 56.904581, 60.613329 56.902788, 60.611935 56.902182, 60.612276 56.900206, 60.613884 56.899206, 60.614175 56.898206, 60.611911 56.896722, 60.609911 56.896615, 60.608698 56.895993, 60.607891 56.896206, 60.607488 56.895206, 60.608342 56.892637, 60.609838 56.890134, 60.613911 56.888956, 60.614911 56.889627, 60.615911 56.888701, 60.618845 56.888141, 60.619911 56.888868, 60.622911 56.888323, 60.623911 56.88883, 60.627911 56.887874, 60.628911 56.888603, 60.629911 56.887754, 60.630911 56.887607, 60.631911 56.888004, 60.633911 56.887447, 60.634882 56.888206, 60.635631 56.890486, 60.638023 56.891094, 60.640921 56.895196, 60.641957 56.898206, 60.640436 56.899206, 60.641516 56.901206, 60.639759 56.902206, 60.639618 56.903206, 60.637911 56.903872, 60.636911 56.902953, 60.635911 56.903926, 60.632911 56.904332, 60.631911 56.90397, 60.630911 56.904777, 60.625911 56.905046, 60.624911 56.905507))"
2,8a10c22898f7fff,14452.166666666666,56.90664654411901,60.61435209100548,"POLYGON ((60.611352 56.917447, 60.61003 56.916969, 60.609551 56.915448, 60.606144 56.914855, 60.600388 56.91061, 60.59779 56.910208, 60.596661 56.909647, 60.596939 56.908647, 60.596267 56.907647, 60.597218 56.904513, 60.599464 56.901647, 60.599552 56.900647, 60.600352 56.900191, 60.602656 56.899951, 60.603352 56.898647, 60.606318 56.898612, 60.608032 56.897327, 60.614352 56.897404, 60.615352 56.897888, 60.618352 56.89745, 60.619352 56.898205, 60.620352 56.897382, 60.621352 56.897409, 60.623125 56.898874, 60.623972 56.901027, 60.626053 56.901945, 60.629052 56.906647, 60.62902 56.910647, 60.628352 56.91181, 60.627352 56.912171, 60.626081 56.911917, 60.625765 56.911234, 60.623986 56.911013, 60.623352 56.910127, 60.621942 56.910236, 60.621934 56.911065, 60.623671 56.911327, 60.623352 56.911919, 60.619961 56.912255, 60.618352 56.914445, 60.61728 56.914574, 60.616929 56.915224, 60.615559 56.915854, 60.612168 56.915462, 60.611352 56.917447))"
3,8a10c228a6a7fff,6947.0,56.8573001891341,60.60186674654757,"POLYGON ((60.599867 56.863432, 60.598867 56.863645, 60.597867 56.863057, 60.595867 56.863536, 60.593381 56.8633, 60.593253 56.861914, 60.592481 56.8613, 60.597004 56.8603, 60.596936 56.859231, 60.594111 56.859056, 60.593867 56.858185, 60.593589 56.859023, 60.592867 56.859161, 60.592144 56.859023, 60.591867 56.858163, 60.586867 56.857994, 60.585867 56.85881, 60.584527 56.85864, 60.585244 56.8573, 60.583551 56.8563, 60.583371 56.8553, 60.585852 56.854286, 60.586867 56.854905, 60.589173 56.854606, 60.590524 56.8523, 60.590021 56.8493, 60.590867 56.848788, 60.597778 56.849389, 60.602867 56.848194, 60.604802 56.849365, 60.607121 56.849046, 60.607867 56.849533, 60.608867 56.851726, 60.610244 56.851923, 60.611867 56.853183, 60.612867 56.852922, 60.614867 56.854251, 60.618055 56.8573, 60.618225 56.8583, 60.615658 56.858091, 60.614516 56.8593, 60.614583 56.861017, 60.611867 56.861712, 60.611214 56.8613, 60.610671 56.860496, 60.60993 56.8603, 60.611867 56.85968, 60.611867 56.859131, 60.607867 56.859176, 60.60753 56.859963, 60.605867 56.860932, 60.605013 56.8603, 60.604933 56.859234, 60.602867 56.859214, 60.602688 56.860121, 60.600958 56.860209, 60.600051 56.860116, 60.599922 56.859245, 60.598867 56.859214, 60.598867 56.861132, 60.601352 56.8623, 60.599867 56.863432))"
4,8a10c228b96ffff,5670.666666666666,56.88984636229223,60.61479744440498,"POLYGON ((60.613797 56.90211, 60.612176 56.900468, 60.610797 56.900378, 60.607797 56.899033, 60.601797 56.89817, 60.601206 56.897438, 60.59756 56.895846, 60.598953 56.892002, 60.598568 56.888846, 60.599917 56.887846, 60.59809 56.886846, 60.598797 56.886253, 60.599885 56.885934, 60.603006 56.886637, 60.604409 56.886458, 60.604797 56.886007, 60.609797 56.885974, 60.610542 56.886101, 60.610797 56.886944, 60.611009 56.886058, 60.612862 56.885911, 60.612296 56.883348, 60.611051 56.882846, 60.611549 56.881846, 60.611483 56.881161, 60.610691 56.880952, 60.610797 56.879885, 60.613808 56.880846, 60.616797 56.882455, 60.618797 56.881831, 60.619637 56.883007, 60.621021 56.882623, 60.622374 56.883846, 60.621673 56.884722, 60.621797 56.885996, 60.62332 56.885846, 60.622888 56.884846, 60.623898 56.884746, 60.624797 56.885155, 60.625551 56.8846, 60.626797 56.884671, 60.629883 56.890846, 60.629805 56.891854, 60.627728 56.894777, 60.627617 56.896846, 60.624797 56.89861, 60.623797 56.89833, 60.622797 56.899113, 60.618687 56.899736, 60.616797 56.901166, 60.614386 56.901435, 60.613797 56.90211))"
5,8a10c229128ffff,11998.833333333334,56.82412228275349,60.50496257207906,
6,8a10c229825ffff,12009.166666666666,56.83264560769994,60.58236953417299,"POLYGON ((60.58337 56.843796, 60.582252 56.843763, 60.58037 56.842785, 60.578119 56.842897, 60.575172 56.841843, 60.572848 56.841646, 60.572769 56.840246, 60.570344 56.839646, 60.571738 56.838646, 60.570368 56.836646, 60.568153 56.835646, 60.567101 56.834646, 60.57137 56.832393, 60.57337 56.833814, 60.573658 56.832934, 60.574517 56.832646, 60.57437 56.831466, 60.571752 56.831263, 60.569094 56.829646, 60.569147 56.828423, 60.57237 56.828012, 60.57337 56.828342, 60.57437 56.827949, 60.57537 56.82907, 60.57637 56.829053, 60.577281 56.830735, 60.57937 56.830743, 60.579585 56.829861, 60.580502 56.829646, 60.580517 56.828499, 60.578068 56.827947, 60.576705 56.826646, 60.57937 56.825932, 60.58137 56.826157, 60.582586 56.825862, 60.58337 56.825134, 60.58637 56.823957, 60.590701 56.825646, 60.590179 56.826836, 60.591139 56.826646, 60.59137 56.826187, 60.59337 56.827921, 60.59437 56.828059, 60.598486 56.831529, 60.598636 56.832646, 60.601291 56.833646, 60.601479 56.834646, 60.59968 56.835956, 60.59937 56.836964, 60.59437 56.838897, 60.592955 56.838646, 60.592434 56.839646, 60.58837 56.840521, 60.586762 56.842038, 60.584925 56.842202, 60.584063 56.843646, 60.58337 56.843796))"
7,8a10c2299bb7fff,1432.5833333333333,56.84887003450736,60.5918617237162,"POLYGON ((60.601862 56.857091, 60.599862 56.857368, 60.597862 56.856281, 60.596862 56.856801, 60.595862 56.85669, 60.593619 56.856113, 60.591595 56.854603, 60.5877 56.854709, 60.588223 56.85587, 60.585461 56.856271, 60.583862 56.855166, 60.582862 56.855007, 60.581862 56.855409, 60.578329 56.85287, 60.577485 56.85187, 60.579243 56.85087, 60.577845 56.84987, 60.579862 56.847952, 60.581207 56.848525, 60.581862 56.850081, 60.584862 56.850022, 60.58511 56.849118, 60.587957 56.84887, 60.587102 56.84863, 60.586862 56.847735, 60.5835 56.847232, 60.582437 56.846295, 60.581967 56.84287, 60.582862 56.842122, 60.584862 56.842203, 60.586862 56.843311, 60.587862 56.843371, 60.589967 56.842975, 60.590862 56.842242, 60.593933 56.842798, 60.594263 56.843469, 60.595646 56.844086, 60.596862 56.84353, 60.597862 56.844271, 60.599089 56.844098, 60.599862 56.843165, 60.600862 56.843526, 60.602313 56.843419, 60.602862 56.843863, 60.603862 56.84301, 60.604841 56.84289, 60.605862 56.84387, 60.607362 56.84437, 60.608257 56.84587, 60.609862 56.846871, 60.608065 56.850073, 60.604755 56.85287, 60.605703 56.85387, 60.604337 56.85487, 60.604862 56.856219, 60.601862 56.857091))"
8,8a10c229a607fff,2478.5,56.79998213416928,60.5755567795245,"POLYGON ((60.577557 56.809181, 60.574557 56.809308, 60.568557 56.808161, 60.567557 56.808439, 60.565557 56.80788, 60.563557 56.808084, 60.561358 56.806982, 60.56109 56.806516, 60.562572 56.805967, 60.561466 56.805891, 60.560557 56.806498, 60.558747 56.805982, 60.557381 56.802982, 60.55784 56.800265, 60.560051 56.796982, 60.561411 56.796836, 60.562147 56.795982, 60.564135 56.795561, 60.564396 56.794821, 60.565953 56.794378, 60.566557 56.793529, 60.568762 56.793187, 60.569134 56.792559, 60.5707 56.792125, 60.571557 56.791257, 60.573557 56.790703, 60.580557 56.790931, 60.582557 56.791637, 60.583557 56.792565, 60.584557 56.792404, 60.585557 56.793528, 60.587557 56.793437, 60.588386 56.795153, 60.592524 56.795982, 60.592749 56.79679, 60.592698 56.797982, 60.590308 56.798982, 60.588198 56.803982, 60.585317 56.803742, 60.583766 56.806191, 60.582147 56.807572, 60.577557 56.809181))"
9,8a10c229bb1ffff,14849.083333333332,56.82867175829188,60.59892765688125,"POLYGON ((60.594928 56.837523, 60.59422 56.83738, 60.592928 56.835677, 60.591928 56.835967, 60.590928 56.835701, 60.590322 56.834672, 60.588111 56.833488, 60.586193 56.830407, 60.584488 56.829672, 60.584586 56.828672, 60.585281 56.828318, 60.585915 56.828659, 60.58455 56.825672, 60.585634 56.824378, 60.587928 56.823088, 60.588928 56.822999, 60.590251 56.821995, 60.591928 56.821706, 60.592928 56.819635, 60.593928 56.819584, 60.594928 56.820178, 60.596928 56.818968, 60.598693 56.820672, 60.597644 56.821388, 60.597928 56.821993, 60.599688 56.821672, 60.599174 56.820672, 60.599928 56.819546, 60.605928 56.82015, 60.609348 56.822672, 60.609219 56.823672, 60.607928 56.824272, 60.607786 56.824814, 60.610928 56.825003, 60.612048 56.824551, 60.61278 56.825672, 60.611808 56.826672, 60.61335 56.827249, 60.614368 56.828672, 60.610268 56.830012, 60.608107 56.831851, 60.607043 56.833787, 60.605364 56.834109, 60.60489 56.834634, 60.598928 56.836077, 60.597928 56.834705, 60.596905 56.834649, 60.597247 56.835672, 60.595928 56.836206, 60.594928 56.837523))"
