,geo_h3_10,avg,population,lat_x,lon_x,city,Автозапчасти для иномарок,Авторемонт и техобслуживание (СТО),Алкогольные напитки,Аптеки,Банки,Быстрое питание,Доставка готовых блюд,Женская одежда,Кафе,Косметика / Парфюмерия,Ногтевые студии,Овощи / Фрукты,Парикмахерские,Платёжные терминалы,Постаматы,Продуктовые магазины,Пункты выдачи интернет-заказов,Рестораны,Страхование,Супермаркеты,Цветы,Шиномонтаж,lat_y,lon_y
0,8a10c228820ffff,1162.1666666666663,528,56.89164764372679,60.60539892092092,Екатеринбург,,3.0,,,,,,,,,,,2.0,,,,,,,,,,56.89164764372679,60.60539892092092
1,8a10c228944ffff,2963.333333333333,321,56.89620627985079,60.625910704724106,Екатеринбург,,,,,,,,,,,,,,1.0,2.0,,,,,2.0,,,56.89620627985079,60.625910704724106
2,8a10c2289517fff,116.35,375,56.89398022310032,60.61260981174454,Екатеринбург,,,,2.0,,,,,2.0,1.0,,,,,,,,,,,1.0,,56.89398022310032,60.61260981174456
3,8a10c2289737fff,84.75,654,56.89742522591588,60.62647252303491,Екатеринбург,,,,,,,,,,3.0,,,,4.0,2.0,,,,,4.0,,,56.89742522591588,60.62647252303491
4,8a10c2289c9ffff,80.83333333333333,451,56.895675927374704,60.60929911228175,Екатеринбург,,,,,,,,,,,,,,,2.0,,,3.0,,5.0,,,56.895675927374704,60.60929911228175
5,8a10c228a6a7fff,6947.0,528,56.8573001891341,60.60186674654757,Екатеринбург,,,2.0,4.0,,,,,2.0,,,,,,,,,,,,,,56.8573001891341,60.60186674654757
6,8a10c228b92ffff,15860.5,398,56.88788506714965,60.60980337199665,Екатеринбург,,,,,2.0,,,,,,,,,2.0,3.0,,1.0,,,2.0,,,56.88788506714965,60.60980337199665
7,8a10c228b96ffff,5670.666666666666,120,56.88984636229223,60.61479744440498,Екатеринбург,,,,,1.0,,,,,,,,,2.0,,,,,,2.0,,,56.88984636229223,60.61479744440498
8,8a10c229802ffff,12817.5,154,56.83014718538072,60.56080082208205,Екатеринбург,,,,2.0,1.0,1.0,,,,,2.0,2.0,4.0,1.0,,,,,,2.0,1.0,,56.83014718538072,60.56080082208205
9,8a10c2298627fff,1061.3333333333333,514,56.82384130953801,60.570162276975374,Екатеринбург,1.0,2.0,,,,,,,,,,,,,,,1.0,,,,,,56.82384130953801,60.570162276975374
10,8a10c2298787fff,11030.055555555557,716,56.82103019217409,60.56683179594664,Екатеринбург,,,,2.0,7.0,,,,,,,,,1.0,1.0,,,,1.0,,,,56.82103019217409,60.56683179594664
11,8a10c2298d4ffff,56.55,1023,56.82998168561973,60.54643100964279,Екатеринбург,,,,,,,,,,,,,,,1.0,,,,,,,,56.82998168561973,60.54643100964279
12,8a10c22990d7fff,548.6666666666666,163,56.84012373535384,60.60010281453334,Екатеринбург,,,,,1.0,,,,,,,,,,,,,1.0,,,1.0,,56.84012373535384,60.60010281453334
13,8a10c229a607fff,2478.5,418,56.79998213416928,60.5755567795245,Екатеринбург,,,,,,,,,,,,,1.0,2.0,1.0,,,,,4.0,1.0,,56.79998213416928,60.5755567795245
14,8a10c229b837fff,1132.0,225,56.8252235535658,60.585090600787694,Екатеринбург,,,2.0,2.0,,,,,,,,,2.0,,,,,,,,,,56.8252235535658,60.5850906007877
15,8a10c229bc1ffff,10876.333333333332,394,56.81620988315114,60.58503890460729,Екатеринбург,,,,2.0,1.0,2.0,,13.0,,,1.0,,,3.0,,,,,,,,,56.81620988315114,60.58503890460729
16,8a10c229bc1ffff,76.96666666666667,394,56.81620988315114,60.58503890460729,Екатеринбург,,,,2.0,1.0,2.0,,13.0,,,1.0,,,3.0,,,,,,,,,56.81620988315114,60.58503890460729
17,8a10c229d077fff,7527.0,931,56.85352517430327,60.55926275281498,Екатеринбург,,,,2.0,,,,,,,,,2.0,,,,,,,,,,56.85352517430327,60.55926275281498
18,8a10c229d96ffff,1924.1666666666667,653,56.862370190416335,60.54492829993957,Екатеринбург,,,,2.0,,,,,1.0,,1.0,,1.0,,2.0,1.0,,,,,,,56.862370190416335,60.54492829993957
19,8a10c2669daffff,76.76666666666668,331,56.77955625638945,60.54784389147375,Екатеринбург,1.0,,,2.0,,1.0,3.0,4.0,,,1.0,1.0,3.0,,1.0,1.0,2.0,,,4.0,1.0,1.0,56.77955625638945,60.54784389147375
20,8a10c266dc47fff,9539.5,1080,56.79152477807168,60.518639477199024,Екатеринбург,1.0,,,2.0,,,,,,2.0,,,,2.0,1.0,,,,1.0,2.0,,,56.79152477807168,60.518639477199024
21,8a10c266dc4ffff,46.23333333333333,1126,56.79189744775132,60.52084946304159,Екатеринбург,,,,2.0,3.0,,,1.0,,,,,2.0,1.0,,,2.0,,,,,,56.79189744775132,60.52084946304159
22,8a10c266dca7fff,58.016666666666666,782,56.787119243965456,60.51254867683697,Екатеринбург,,,,,1.0,1.0,,,,,,,,,,,,,,,1.0,,56.787119243965456,60.51254867683697
23,8a10dc91091ffff,12485.166666666668,57,56.752150888748425,60.7066145937184,Екатеринбург,,,,,,,,,,,,,2.0,,,,,,,,,,56.752150888748425,60.7066145937184
24,8a10dc924347fff,85.06666666666666,674,56.862280159555226,60.64504489288876,Екатеринбург,,,2.0,2.0,,,,3.0,,,,,2.0,,,,,,,,,,56.862280159555226,60.64504489288876
25,8a10dc924777fff,10941.833333333336,439,56.85337534296038,60.63889724916359,Екатеринбург,,,4.0,2.0,,,,,,,1.0,,,,,,,,1.0,,,,56.85337534296038,60.63889724916359
26,8a10dc924aa7fff,79.23333333333333,103,56.86249453571893,60.63287604181705,Екатеринбург,,,,6.0,,6.0,,,,2.0,,1.0,2.0,2.0,,,1.0,,,2.0,,,56.86249453571894,60.63287604181705
27,8a10dc924d27fff,2168.6666666666665,258,56.85597533461981,60.60738926136166,Екатеринбург,,,,,,2.0,,,,2.0,1.0,,,,,,1.0,,,,,,56.85597533461981,60.60738926136166
28,8a10dc92691ffff,83.78333333333333,199,56.83980594811706,60.61834528277256,Екатеринбург,,,,2.0,1.0,,,,1.0,,,,,,2.0,,,,1.0,,,,56.83980594811706,60.61834528277256
29,8a10dc926a07fff,6761.562500000001,230,56.8419241012056,60.63771114517112,Екатеринбург,,,,,3.0,3.0,2.0,4.0,,2.0,,,,1.0,1.0,,,,,4.0,,,56.8419241012056,60.63771114517112
30,8a10dc926a5ffff,76.6,485,56.84303592727723,60.64435429210312,Екатеринбург,,,,2.0,3.0,1.0,2.0,,5.0,,,,1.0,,,,1.0,,,,1.0,,56.84303592727723,60.64435429210312
31,8a10dc926c5ffff,5123.833333333333,451,56.83190554891894,60.62492707389646,Екатеринбург,,1.0,,,2.0,,,3.0,2.0,,,,2.0,1.0,,,,,,,1.0,3.0,56.83190554891894,60.62492707389646
32,8a10dc93092ffff,177.0,998,56.79584753875266,60.62468658163233,Екатеринбург,,,,,,,,,,,,2.0,,,,,,,,,,,56.79584753875266,60.62468658163233
33,8a10dc934327fff,12934.333333333332,1766,56.80141725143478,60.61091434608091,Екатеринбург,,,,,2.0,,1.0,,,,4.0,,,,3.0,,1.0,,,3.0,,1.0,56.80141725143478,60.61091434608092
34,8a10dc934677fff,8032.5,710,56.79229537908959,60.61693127520506,Екатеринбург,,,,2.0,1.0,,3.0,6.0,,,,,2.0,1.0,,,4.0,,,2.0,,,56.79229537908959,60.61693127520505
35,8a10dc934ad7fff,11228.833333333334,156,56.8026369049925,60.61147445957969,Екатеринбург,,,2.0,2.0,,,,,,,,,,1.0,1.0,,,,1.0,4.0,,,56.8026369049925,60.61147445957969
36,8a10dc934d07fff,17944.333333333332,998,56.79536988557561,60.5816060032201,Екатеринбург,,,,,,,2.0,5.0,,2.0,,1.0,,1.0,1.0,,1.0,,,2.0,,,56.79536988557561,60.5816060032201
37,8a10dc936a37fff,87.81666666666666,447,56.7817952015172,60.608029466718726,Екатеринбург,,,,4.0,1.0,2.0,,,,,,1.0,2.0,3.0,1.0,,,,,,1.0,,56.7817952015172,60.608029466718726
38,8a10160884a7fff,5644.666666666666,10,56.32013563232815,43.947154568306416,Нижний Новгород,,,,4.0,1.0,3.0,2.0,90.0,,7.0,,,2.0,7.0,3.0,,1.0,,,,,,56.32013563232815,43.94715456830641
39,8a10160884a7fff,79.16666666666666,10,56.32013563232815,43.947154568306416,Нижний Новгород,,,,4.0,1.0,3.0,2.0,90.0,,7.0,,,2.0,7.0,3.0,,1.0,,,,,,56.32013563232815,43.94715456830641
40,8a101608859ffff,7314.833333333333,113,56.31951246038056,43.94531924458674,Нижний Новгород,,,,2.0,4.0,1.0,,2.0,,3.0,,,,6.0,3.0,,1.0,,1.0,4.0,1.0,,56.31951246038056,43.94531924458675
41,8a101608878ffff,5609.5,427,56.325090584401295,43.958219278517085,Нижний Новгород,,,,,,,,9.0,,,1.0,,,,,,1.0,5.0,,,,,56.325090584401295,43.958219278517085
42,8a101608a82ffff,434.16666666666674,12,56.31527019789894,43.94695135367285,Нижний Новгород,,5.0,,,,,,,,,,,,,,,,,,,,,56.31527019789894,43.94695135367285
43,8a101608c327fff,5557.833333333333,847,56.34053668341253,43.91542682542008,Нижний Новгород,2.0,,1.0,2.0,1.0,3.0,3.0,,2.0,1.0,,1.0,2.0,5.0,5.0,,5.0,,3.0,2.0,,,56.34053668341253,43.91542682542008
44,8a101608dc9ffff,9339.666666666666,173,56.34427811487386,43.92644063724479,Нижний Новгород,,,,,2.0,,,,,1.0,,,,3.0,,1.0,,,1.0,3.0,2.0,,56.34427811487386,43.92644063724479
45,8a101608ead7fff,3927.0,269,56.320577317806126,43.927271535939454,Нижний Новгород,,,,,,,,5.0,,1.0,,,,,,,,,1.0,,,,56.320577317806126,43.927271535939454
46,8a1016092b1ffff,9932.833333333332,259,56.22822996958661,43.86391305588676,Нижний Новгород,,,,2.0,1.0,,,,,2.0,,,,3.0,1.0,,,,1.0,3.0,1.0,,56.22822996958661,43.86391305588676
47,8a101609c257fff,577.9166666666666,897,56.28103030749701,43.92383294544179,Нижний Новгород,2.0,,,2.0,2.0,,,4.0,,1.0,,,2.0,3.0,1.0,4.0,,,,,1.0,,56.28103030749701,43.92383294544179
48,8a10160a859ffff,60.35,955,56.34853636361475,43.85784135981267,Нижний Новгород,,,,2.0,,,,,,,,,2.0,,,,,,,,,,56.34853636361476,43.857841359812674
49,8a10160aab07fff,11839.61111111111,586,56.34801034486163,43.86686787811729,Нижний Новгород,,,,2.0,,,,,,3.0,,,3.0,1.0,,2.0,,,1.0,,,,56.34801034486163,43.86686787811729
50,8a10160ac077fff,8881.666666666668,274,56.365846914075625,43.82413813726316,Нижний Новгород,,,,2.0,,,,7.0,,1.0,,1.0,,2.0,2.0,,,,,4.0,,,56.365846914075625,43.82413813726317
51,8a101646992ffff,2669.4,524,56.23503510531749,43.95083023215324,Нижний Новгород,,,,,4.0,4.0,,21.0,,3.0,1.0,,,11.0,5.0,,1.0,,,4.0,1.0,,56.23503510531749,43.95083023215324
52,8a101646d61ffff,12911.0,859,56.2282994450599,43.94513288397603,Нижний Новгород,2.0,,,,1.0,,,,,,1.0,,1.0,3.0,1.0,,,,1.0,3.0,1.0,2.0,56.2282994450599,43.94513288397603
53,8a1016720477fff,10703.333333333334,288,56.29530091352826,44.03655841154642,Нижний Новгород,,,,4.0,,2.0,,,,3.0,,2.0,,,2.0,,,,,,1.0,,56.29530091352826,44.03655841154642
54,8a1016724ab7fff,2332.0,89,56.31081260805097,43.99742397319264,Нижний Новгород,,,,2.0,3.0,,1.0,1.0,,,,1.0,2.0,2.0,,,,,1.0,,,,56.31081260805097,43.99742397319263
55,8a1016724b1ffff,9767.388888888889,860,56.3144338090591,43.99396023527688,Нижний Новгород,,,1.0,2.0,,,,,,,,,,1.0,,1.0,,,,,2.0,,56.3144338090591,43.99396023527688
56,8a1016725057fff,107.76666666666668,171,56.324419581904,44.02697443756608,Нижний Новгород,,,,,1.0,,,,,,,,,,,,,,,3.0,,,56.324419581904,44.02697443756608
57,8a1016725577fff,5402.7266666666665,106,56.31706432990288,44.019412366236416,Нижний Новгород,,,1.0,8.0,,,3.0,64.0,,2.0,,,1.0,1.0,6.0,,,4.0,,,2.0,,56.31706432990288,44.019412366236416
58,8a10167258f7fff,12254.416666666664,192,56.32614681290509,44.0143763207477,Нижний Новгород,,,,2.0,2.0,,,,,,,,,,,,,,,,,,56.32614681290509,44.0143763207477
59,8a0bb020416ffff,9287.533333333333,210,54.93919534662333,83.12322290238554,Новосибирск,,,1.0,4.0,,1.0,,3.0,,2.0,1.0,3.0,6.0,3.0,4.0,,1.0,,2.0,,,,54.93919534662333,83.12322290238554
60,8a0bb02361a7fff,7372.300000000001,460,54.86407696832543,83.10144386690715,Новосибирск,,,,4.0,,1.0,,,,,2.0,1.0,,1.0,2.0,,,,,3.0,1.0,,54.86407696832543,83.10144386690715
61,8a0bb0236867fff,1073.8333333333333,298,54.870841726219545,83.08834400021773,Новосибирск,,,,2.0,,,,1.0,2.0,2.0,6.0,,5.0,2.0,1.0,,1.0,,,2.0,1.0,,54.870841726219545,83.08834400021773
62,8a0bb02368f7fff,12056.333333333334,720,54.86747644119757,83.0937965064601,Новосибирск,,,,,,2.0,,7.0,,,,1.0,,2.0,3.0,,1.0,,,4.0,1.0,,54.86747644119757,83.0937965064601
63,8a0bb030c54ffff,13597.5,825,54.93460069006783,82.9174578870381,Новосибирск,,,1.0,2.0,,,,,,3.0,,,4.0,2.0,,,,,,4.0,,,54.93460069006783,82.91745788703811
64,8a0bb031e997fff,12464.166666666668,546,54.86477536532478,82.98174050544802,Новосибирск,,,,2.0,,2.0,,,,2.0,,,2.0,2.0,1.0,,,,,3.0,1.0,,54.86477536532478,82.98174050544802
65,8a0bb032a2effff,6693.133333333333,1100,54.94159008786893,82.88669508742332,Новосибирск,,,3.0,2.0,,,,,,,,,2.0,1.0,,,,,,3.0,1.0,,54.94159008786895,82.88669508742332
66,8a0bb0340537fff,15070.083333333334,140,55.04341826496107,82.95358583320206,Новосибирск,,,1.0,2.0,2.0,3.0,,7.0,,9.0,4.0,2.0,,6.0,4.0,,2.0,,1.0,2.0,,,55.04341826496107,82.95358583320204
67,8a0bb0340537fff,125.66666666666669,140,55.04341826496107,82.95358583320206,Новосибирск,,,1.0,2.0,2.0,3.0,,7.0,,9.0,4.0,2.0,,6.0,4.0,,2.0,,1.0,2.0,,,55.04341826496107,82.95358583320204
